venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Rotown,Rotterdam,Netherlands,,"Rotown, 17-19, Nieuwe Binnenweg, Chinatown, Oude Westen, Centrum, Rotterdam, Zuid-Holland, Nederland, 3014 GB, Nederland",51.9169188,4.4717793,"https://www.google.com/maps?q=51.9169188,4.4717793",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Rotown"",""https://www.wikidata.org/wiki/Q3089767"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Rotown%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Rotown+Rotterdam+Netherlands"",""https://www.ticketmaster.com/search?q=Rotown+Rotterdam+Netherlands""]"
SM Mall of Asia Arena,,Netherlands,,,,,https://www.google.com/maps/search/?api=1&query=SM+Mall+of+Asia+Arena%2C+Netherlands,18000,18000,[],[],[],true,https://www.sm-arena.com,,,,"[""https://en.wikipedia.org/wiki/SM_Mall_of_Asia_Arena"",""https://www.wikidata.org/wiki/Q6743990"",""https://www.wikidata.org/wiki/Q6743990#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=SM+Mall+of+Asia+Arena%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q6743990#P856"",""https://www.eventbrite.com/d/netherlands/SM+Mall+of+Asia+Arena++Netherlands"",""https://www.ticketmaster.com/search?q=SM+Mall+of+Asia+Arena++Netherlands""]"
Sport in the Netherlands,Den Haag,Netherlands,,"Keu's Genoeg, Genemuidenstraat, Morgenstond-Zuid, Morgenstond, Escamp, Den Haag, Zuid-Holland, Nederland, 2545 PP, Nederland",52.0486216,4.2816128,"https://www.google.com/maps?q=52.0486216,4.2816128",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Sport_in_the_Netherlands"",""https://www.wikidata.org/wiki/Q2032716"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Sport+in+the+Netherlands%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Sport+in+the+Netherlands+Den+Haag+Netherlands"",""https://www.ticketmaster.com/search?q=Sport+in+the+Netherlands+Den+Haag+Netherlands""]"
Sportboulevard Dordrecht,Dordrecht,Netherlands,,"Sportboulevard, Henri Dunantpromenade, Sterrenburg, Dordrecht, Zuid-Holland, Nederland, 3318 AL, Nederland",51.7932148,4.6784516,"https://www.google.com/maps?q=51.7932148,4.6784516",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Sportboulevard_Dordrecht"",""https://www.wikidata.org/wiki/Q2533705"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Sportboulevard+Dordrecht%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Sportboulevard+Dordrecht+Dordrecht+Netherlands"",""https://www.ticketmaster.com/search?q=Sportboulevard+Dordrecht+Dordrecht+Netherlands""]"
Sportcomplex 1574,Leiden,Netherlands,,"Sportcomplex 1574, 399, Telderskade, Bos- en Gasthuizen, Leiden, Zuid-Holland, Nederland, 2321 TR, Nederland",52.1501638,4.4752093,"https://www.google.com/maps?q=52.1501638,4.4752093",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Sportcomplex_1574"",""https://www.wikidata.org/wiki/Q124477773"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Sportcomplex+1574%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Sportcomplex+1574+Leiden+Netherlands"",""https://www.ticketmaster.com/search?q=Sportcomplex+1574+Leiden+Netherlands""]"
Tulip,Amsterdam,Netherlands,,"Amsterdam Tulip Museum, 116, Prinsengracht, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1015 EA, Nederland",52.3763169,4.8841751,"https://www.google.com/maps?q=52.3763169,4.8841751",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Tulip"",""https://www.wikidata.org/wiki/Q93201"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Tulip%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Tulip+Amsterdam+Netherlands"",""https://www.ticketmaster.com/search?q=Tulip+Amsterdam+Netherlands""]"
Westfalenstadion,,Netherlands,,,,,https://www.google.com/maps/search/?api=1&query=Westfalenstadion%2C+Netherlands,81359,81359,[],[],[],true,https://www.signal-iduna-park.de/,,,,"[""https://en.wikipedia.org/wiki/Westfalenstadion"",""https://www.wikidata.org/wiki/Q150928"",""https://www.wikidata.org/wiki/Q150928#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Westfalenstadion%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q150928#P856"",""https://www.eventbrite.com/d/netherlands/Westfalenstadion++Netherlands"",""https://www.ticketmaster.com/search?q=Westfalenstadion++Netherlands""]"
Willemstad,Willemstad,Netherlands,,"Willemstad, Curaçao, Nederland",12.1066695,-68.9351307,"https://www.google.com/maps?q=12.1066695,-68.9351307",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Willemstad"",""https://www.wikidata.org/wiki/Q132679"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Willemstad%2C+Netherlands&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/netherlands/Willemstad+Willemstad+Netherlands"",""https://www.ticketmaster.com/search?q=Willemstad+Willemstad+Netherlands""]"
2023 Cricket World Cup,,Netherlands,,,,,https://www.google.com/maps/search/?api=1&query=2023+Cricket+World+Cup%2C+Netherlands,,,[],[],[],true,https://www.facebook.com/icc,,,"official_site_links={'contact_url': 'https://www.cricketworldcup.com/about/contact-us/social-media', 'events_url': 'https://www.cricketworldcup.com/icc-events'}","[""https://en.wikipedia.org/wiki/2023_Cricket_World_Cup"",""https://www.wikidata.org/wiki/Q16057443"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=2023+Cricket+World+Cup%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q16057443#P856"",""https://www.cricketworldcup.com/about/contact-us/social-media"",""https://www.cricketworldcup.com/icc-events"",""https://www.facebook.com/icc"",""https://www.eventbrite.com/d/netherlands/2023+Cricket+World+Cup++Netherlands"",""https://www.ticketmaster.com/search?q=2023+Cricket+World+Cup++Netherlands""]"
2023 European Athletics Indoor Championships,,Netherlands,,,,,https://www.google.com/maps/search/?api=1&query=2023+European+Athletics+Indoor+Championships%2C+Netherlands,,,[],[],[],true,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Feuroindoor2023,,,official_site_links={'contact_url': 'https://www.istanbul2023.org/index/contact.html'},"[""https://en.wikipedia.org/wiki/2023_European_Athletics_Indoor_Championships"",""https://www.wikidata.org/wiki/Q101500085"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=2023+European+Athletics+Indoor+Championships%2C+Netherlands&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q101500085#P856"",""https://www.istanbul2023.org/index/contact.html"",""https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Feuroindoor2023"",""https://www.eventbrite.com/d/netherlands/2023+European+Athletics+Indoor+Championships++Netherlands"",""https://www.ticketmaster.com/search?q=2023+European+Athletics+Indoor+Championships++Netherlands""]"
