venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
BayArena,Leverkusen,Germany,,"BayArena, 122-124, Bismarckstraße, Küppersteg, Stadtbezirk II, Leverkusen, Nordrhein-Westfalen, 51373, Deutschland",51.0381439,7.0030964,"https://www.google.com/maps?q=51.0381439,7.0030964",30210,30210,[],[],[],true,https://bayer0401.webtrekk.net/969665527401678/re.pl?t=http%3A%2F%2Ffacebook.com%2Fbayer04fussball%0A%0A&c=Marketing%3A%20Footer%20Social%20Facebook%20DE%20NewWeb%20231123%0A,,,,"[""https://en.wikipedia.org/wiki/BayArena"",""https://www.wikidata.org/wiki/Q156630"",""https://www.wikidata.org/wiki/Q156630#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=BayArena%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q156630#P856"",""https://www.eventbrite.com/d/germany/BayArena+Leverkusen+Germany"",""https://www.ticketmaster.com/search?q=BayArena+Leverkusen+Germany""]"
BMW Park,München,Germany,,"BMW Park, 74, Grasweg, Sendling-Westpark, München, Bayern, 81373, Deutschland",48.126031,11.5253539,"https://www.google.com/maps?q=48.126031,11.5253539",6700,6700,[],[],[],true,https://bmwpark.de/de,,,,"[""https://en.wikipedia.org/wiki/BMW_Park"",""https://www.wikidata.org/wiki/Q328464"",""https://www.wikidata.org/wiki/Q328464#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=BMW+Park%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q328464#P856"",""https://www.eventbrite.com/d/germany/BMW+Park+M%C3%BCnchen+Germany"",""https://www.ticketmaster.com/search?q=BMW+Park+M%C3%BCnchen+Germany""]"
Brita-Arena,Wiesbaden,Germany,stadium,"BRITA-Arena, 9, Berliner Straße, Südost, Wiesbaden, Hessen, 65189, Deutschland",50.0712853,8.2566478,"https://www.google.com/maps?q=50.0712853,8.2566478",12560,12560,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Brita-Arena"",""https://www.wikidata.org/wiki/Q835749"",""https://www.wikidata.org/wiki/Q835749#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Brita-Arena%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Brita-Arena+Wiesbaden+Germany"",""https://www.ticketmaster.com/search?q=Brita-Arena+Wiesbaden+Germany""]"
Bruchwegstadion,Mainz,Germany,stadium,"Bruchwegstadion, Dr.-Martin-Luther-King-Weg, Martin-Luther-King-Park, Hartenberg, Hartenberg-Münchfeld, Mainz, Rheinland-Pfalz, 55122, Deutschland",50.0008704,8.245563,"https://www.google.com/maps?q=50.0008704,8.245563",20300,20300,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Bruchwegstadion"",""https://www.wikidata.org/wiki/Q835763"",""https://www.wikidata.org/wiki/Q835763#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bruchwegstadion%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Bruchwegstadion+Mainz+Germany"",""https://www.ticketmaster.com/search?q=Bruchwegstadion+Mainz+Germany""]"
Bruno-Plache-Stadion,Leipzig,Germany,stadium,"Bruno-Plache-Stadion, Zum Förderturm, Probstheida, Südost, Leipzig, Sachsen, 04289, Deutschland",51.3028411,12.4191292,"https://www.google.com/maps?q=51.3028411,12.4191292",7000,7000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Bruno-Plache-Stadion"",""https://www.wikidata.org/wiki/Q317289"",""https://www.wikidata.org/wiki/Q317289#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Bruno-Plache-Stadion%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Bruno-Plache-Stadion+Leipzig+Germany"",""https://www.ticketmaster.com/search?q=Bruno-Plache-Stadion+Leipzig+Germany""]"
Carl-Benz-Stadion,Mannheim,Germany,stadium,"Carl-Benz-Stadion, 20, Theodor-Heuss-Anlage, Oststadt, Schwetzingerstadt/Oststadt, Mannheim, Baden-Württemberg, 68165, Deutschland",49.4794201,8.5025049,"https://www.google.com/maps?q=49.4794201,8.5025049",27000,27000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Carl-Benz-Stadion"",""https://www.wikidata.org/wiki/Q656948"",""https://www.wikidata.org/wiki/Q656948#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Carl-Benz-Stadion%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Carl-Benz-Stadion+Mannheim+Germany"",""https://www.ticketmaster.com/search?q=Carl-Benz-Stadion+Mannheim+Germany""]"
Casals Forum,Kronberg im Taunus,Germany,music venue,"Casals Forum, 2, Beethovenplatz, Kronberg, Kronberg im Taunus, Hochtaunuskreis, Hessen, 61476, Deutschland",50.1807758,8.5143564,"https://www.google.com/maps?q=50.1807758,8.5143564",,,"[""concerts"",""cultural events""]",[],[],true,https://www.facebook.com/KronbergAcademy,,,,"[""https://en.wikipedia.org/wiki/Casals_Forum"",""https://www.wikidata.org/wiki/Q114157557"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Casals+Forum%2C+Germany&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q114157557#P856"",""https://www.eventbrite.com/d/germany/Casals+Forum+Kronberg+im+Taunus+Germany"",""https://www.ticketmaster.com/search?q=Casals+Forum+Kronberg+im+Taunus+Germany""]"
Congresshalle (Saarbrücken),Saarbrücken,Germany,music venue,"Congresshalle, 12, Hafenstraße, Hauptbahnhof, St. Johann, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66111, Deutschland",49.2375825,6.9874173,"https://www.google.com/maps?q=49.2375825,6.9874173",1300,1300,"[""concerts"",""cultural events""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Congresshalle_(Saarbrücken)"",""https://www.wikidata.org/wiki/Q15055204"",""https://www.wikidata.org/wiki/Q15055204#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Congresshalle+%28Saarbr%C3%BCcken%29%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Congresshalle+%28Saarbr%C3%BCcken%29+Saarbr%C3%BCcken+Germany"",""https://www.ticketmaster.com/search?q=Congresshalle+%28Saarbr%C3%BCcken%29+Saarbr%C3%BCcken+Germany""]"
Curt Frenzel Stadium,Augsburg,Germany,arena,"Curt-Frenzel-Stadion, 2, Senkelbachstraße, Stadtjägerviertel, Innenstadt, Augsburg, Bayern, 86153, Deutschland",48.3738425,10.8865146,"https://www.google.com/maps?q=48.3738425,10.8865146",6218,6218,"[""concerts"",""esports"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Curt_Frenzel_Stadium"",""https://www.wikidata.org/wiki/Q1144987"",""https://www.wikidata.org/wiki/Q1144987#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Curt+Frenzel+Stadium%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Curt+Frenzel+Stadium+Augsburg+Germany"",""https://www.ticketmaster.com/search?q=Curt+Frenzel+Stadium+Augsburg+Germany""]"
Deutsches Stadion,Nürnberg,Germany,stadium,"Station 22 - Baugrube Deutsches Stadion / Silbersee, Alfred-Hensel-Weg, Dutzendteich, Südöstliche Außenstadt, Nürnberg, Bayern, 90471, Deutschland",49.4232218,11.1107456,"https://www.google.com/maps?q=49.4232218,11.1107456",400000,400000,"[""concerts"",""sports""]",[],[],,,,,,"[""https://en.wikipedia.org/wiki/Deutsches_Stadion"",""https://www.wikidata.org/wiki/Q473806"",""https://www.wikidata.org/wiki/Q473806#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Deutsches+Stadion%2C+Germany&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/germany/Deutsches+Stadion+N%C3%BCrnberg+Germany"",""https://www.ticketmaster.com/search?q=Deutsches+Stadion+N%C3%BCrnberg+Germany""]"
