col1,col2,col3,col4,col5,col6,col7,venue_type
Mercedes-Benz Arena,"18,000",Shanghai, China,,,,Indoor Arena
New Shenzhen Arena,"18,000",Shenzhen, China,,,,Indoor Arena
Shanghai Oriental Sports Center,"18,000",Shanghai, China,,,,Indoor Arena
Guangzhou International Sports Arena,"18,000",Guangzhou, China,,,,Indoor Arena
Simmons Bank Arena,"18,000","North Little Rock, Arkansas", United States,,,,Indoor Arena
Colonial Life Arena,"18,000","Columbia, South Carolina", United States,,,,Indoor Arena
Etihad Arena,"18,000",Abu Dhabi,United Arab Emirates,,,,Indoor Arena
Marriott Center,"17,978","Provo, Utah", United States,,,,Indoor Arena
Palau Sant Jordi,"17,960",Barcelona, Spain,,,,Indoor Arena
Grand Casino Arena,"17,954","Saint Paul, Minnesota", United States,,,,Indoor Arena
Xfinity Center,"17,950","College Park, Maryland", United States,,,,Indoor Arena
Intuit Dome,"17,927","Inglewood, California",United States,,,,Indoor Arena
Thomas   Mack Center,"17,923","Paradise, Nevada", United States,,,,Indoor Arena
BOK Center,"17,839","Tulsa, Oklahoma", United States,,,,Indoor Arena
Barclays Center,"17,732","Brooklyn, New York", United States,,,,Indoor Arena
Legacy Arena,"17,654","Birmingham, Alabama", United States,,,,Indoor Arena
Golden 1 Center,"17,608","Sacramento, California", United States,,,,Indoor Arena
Arena Monterrey,"17,599",Monterrey,Mexico,,,,Indoor Arena
Kia Forum,"17,500","Inglewood, California", United States,,,,Indoor Arena
Movistar Arena,"17,453",Madrid, Spain,,,,Indoor Arena
Fiserv Forum,"17,385",Milwaukee, United States,,,,Indoor Arena
FirstOntario Centre,"17,383","Hamilton, Ontario", Canada,,,,Indoor Arena
O2 Arena,"17,383",Prague,Czech Republic,,,,Indoor Arena
Capital Indoor Stadium,"17,345",Beijing, China,,,,Indoor Arena
Kohl Center,"17,287","Madison, Wisconsin", United States,,,,Indoor Arena
Simon Skjodt Assembly Hall,"17,222","Bloomington, Indiana", United States,,,,Indoor Arena
MGM Grand Garden Arena,"17,157","Paradise, Nevada", United States,,,,Indoor Arena
Desert Diamond Arena,"17,125","Glendale, Arizona", United States,,,,Indoor Arena
Footprint Center,"17,071","Phoenix, Arizona", United States,,,,Indoor Arena
Heritage Bank Center,"17,000",Cincinnati, United States,,,,Indoor Arena
Salle Omnisport de Radès,"17,000",Radès,Tunisia,,,,Indoor Arena
Ziggo Dome,"17,000",Amsterdam, Netherlands,,,,Indoor Arena
Coca-Cola Arena,"17,000",Dubai,United Arab Emirates,,,,Indoor Arena
State Farm Arena,"16,600",Atlanta, United States,,,,Indoor Arena
Pala Alpitour,"16,600",Turin, Italy,,,,Indoor Arena
Frank C. Erwin Jr. Center,"16,540","Austin, Texas", United States,,,,Indoor Arena
Indonesia Arena,"16,500",Jakarta,Indonesia,,,,Indoor Arena
Arena México,"16,500",Mexico City,Mexico,,,,Indoor Arena
Arena Zagreb,"16,500","Zagreb, Croatia",Croatia,,,,Indoor Arena
Rotterdam Ahoy,"16,500",Rotterdam, Netherlands,,,,Indoor Arena
Sinan Erdem Dome,"16,457",Istanbul,Turkey,,,,Indoor Arena
Pacific Coliseum,"16,281",Vancouver, Canada,,,,Indoor Arena
Casey's Center,"16,110","Des Moines, Iowa", United States,,,,Indoor Arena
Coliseo General Rumiñahui,"16,000",Quito,Ecuador,,,,Indoor Arena
