venue_name,city,country,venue_type,address,latitude,longitude,google_maps_url,capacity_min,capacity_max,event_types,past_events,upcoming_events,booking_available,booking_url,venue_operator,partnership_required,notes,sources
Rajiv Gandhi Indoor Stadium,Ernakulam,India,,"Rajiv Gandhi Indoor Stadium, Gandhi Nagar Road, Gandhi Nagar, Elamkulam, Ernakulam, Kanayannur, Ernakulam, Kerala, 682020, India",9.9686266,76.2980467,"https://www.google.com/maps?q=9.9686266,76.2980467",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Rajiv_Gandhi_Indoor_Stadium"",""https://www.wikidata.org/wiki/Q7309158"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Rajiv+Gandhi+Indoor+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Rajiv+Gandhi+Indoor+Stadium+Ernakulam+India"",""https://www.ticketmaster.com/search?q=Rajiv+Gandhi+Indoor+Stadium+Ernakulam+India"",""https://in.bookmyshow.com/explore/events-Ernakulam?search=Rajiv Gandhi Indoor Stadium"",""https://insider.in/search?q=Rajiv Gandhi Indoor Stadium""]"
"Rajiv Gandhi International Cricket Stadium, Dehradun",Dehradun,India,,"Rajiv Gandhi International Cricket Stadium, Lane No 4, Pushp Vihar, Nathuwala, Dehradun, Uttarakhand, 248001, India",30.2967638,78.1056474,"https://www.google.com/maps?q=30.2967638,78.1056474",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Cricket_Stadium,_Dehradun"",""https://www.wikidata.org/wiki/Q18217170"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Rajiv+Gandhi+International+Cricket+Stadium%2C+Dehradun%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Rajiv+Gandhi+International+Cricket+Stadium%2C+Dehradun+Dehradun+India"",""https://www.ticketmaster.com/search?q=Rajiv+Gandhi+International+Cricket+Stadium%2C+Dehradun+Dehradun+India"",""https://in.bookmyshow.com/explore/events-Dehradun?search=Rajiv Gandhi International Cricket Stadium, Dehradun"",""https://insider.in/search?q=Rajiv Gandhi International Cricket Stadium, Dehradun""]"
Rangoli,Birsinghpur Tahsil,India,,"Rangoli, Birsinghpur Tahsil, Satna, Madhya Pradesh, India",24.8489907,81.0115849,"https://www.google.com/maps?q=24.8489907,81.0115849",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Rangoli"",""https://www.wikidata.org/wiki/Q3284472"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Rangoli%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Rangoli+Birsinghpur+Tahsil+India"",""https://www.ticketmaster.com/search?q=Rangoli+Birsinghpur+Tahsil+India"",""https://in.bookmyshow.com/explore/events-Birsinghpur Tahsil?search=Rangoli"",""https://insider.in/search?q=Rangoli""]"
Rave,Kanpur,India,,"Rave 3, PB Road, Kanpur, Kanpur Nagar, Uttar Pradesh, 208001, India",26.4916319,80.3279919,"https://www.google.com/maps?q=26.4916319,80.3279919",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Rave"",""https://www.wikidata.org/wiki/Q645767"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Rave%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Rave+Kanpur+India"",""https://www.ticketmaster.com/search?q=Rave+Kanpur+India"",""https://in.bookmyshow.com/explore/events-Kanpur?search=Rave"",""https://insider.in/search?q=Rave""]"
Sardar Patel Gujarat Stadium,Asarva Taluka,India,,"Sardar Patel Sports Complex, Motera Stadium Exit Road, Sabarmati, Asarva Taluka, Ahmedabad, Gujarat, 380005, India",23.0925447,72.5978635,"https://www.google.com/maps?q=23.0925447,72.5978635",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Sardar_Patel_Gujarat_Stadium"",""https://www.wikidata.org/wiki/Q134932117"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Sardar+Patel+Gujarat+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Sardar+Patel+Gujarat+Stadium+Asarva+Taluka+India"",""https://www.ticketmaster.com/search?q=Sardar+Patel+Gujarat+Stadium+Asarva+Taluka+India"",""https://in.bookmyshow.com/explore/events-Asarva Taluka?search=Sardar Patel Gujarat Stadium"",""https://insider.in/search?q=Sardar Patel Gujarat Stadium""]"
Sawai Mansingh Stadium,Jaipur,India,,"Sawai Mansingh Stadium, Pankaj Singhvi Marg, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India",26.8939911,75.8032269,"https://www.google.com/maps?q=26.8939911,75.8032269",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Sawai_Mansingh_Stadium"",""https://www.wikidata.org/wiki/Q7428548"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Sawai+Mansingh+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Sawai+Mansingh+Stadium+Jaipur+India"",""https://www.ticketmaster.com/search?q=Sawai+Mansingh+Stadium+Jaipur+India"",""https://in.bookmyshow.com/explore/events-Jaipur?search=Sawai Mansingh Stadium"",""https://insider.in/search?q=Sawai Mansingh Stadium""]"
Scandinavium,,India,,,,,https://www.google.com/maps/search/?api=1&query=Scandinavium%2C+India,12044,12044,[],[],[],true,https://www.facebook.com/gotevent,,,,"[""https://en.wikipedia.org/wiki/Scandinavium"",""https://www.wikidata.org/wiki/Q1138447"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://www.wikidata.org/wiki/Q1138447#P1083"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Scandinavium%2C+India&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1138447#P856"",""https://www.eventbrite.com/d/india/Scandinavium++India"",""https://www.ticketmaster.com/search?q=Scandinavium++India"",""https://in.bookmyshow.com/explore/events-?search=Scandinavium"",""https://insider.in/search?q=Scandinavium""]"
Shaheed Veer Narayan Singh International Cricket Stadium,Nawagaon,India,,"SVNS International Cricket Stadium, NH53, Sector 2, Nawagaon, Arang Tahsil, Raipur, Chhattisgarh, 492101, India",21.2033903,81.8230192,"https://www.google.com/maps?q=21.2033903,81.8230192",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Shaheed_Veer_Narayan_Singh_International_Cricket_Stadium"",""https://www.wikidata.org/wiki/Q7285044"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Shaheed+Veer+Narayan+Singh+International+Cricket+Stadium%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Shaheed+Veer+Narayan+Singh+International+Cricket+Stadium+Nawagaon+India"",""https://www.ticketmaster.com/search?q=Shaheed+Veer+Narayan+Singh+International+Cricket+Stadium+Nawagaon+India"",""https://in.bookmyshow.com/explore/events-Nawagaon?search=Shaheed Veer Narayan Singh International Cricket Stadium"",""https://insider.in/search?q=Shaheed Veer Narayan Singh International Cricket Stadium""]"
Shubh,Shubh Kannpur,India,,"Shubh Kannpur, Baldeogarh Tahsil, Tikamgarh, Madhya Pradesh, India",24.6734479,79.23339,"https://www.google.com/maps?q=24.6734479,79.23339",,,[],[],[],,,,,,"[""https://en.wikipedia.org/wiki/Shubh"",""https://www.wikidata.org/wiki/Q115492501"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=Shubh%2C+India&limit=1&addressdetails=1"",""https://www.eventbrite.com/d/india/Shubh+Shubh+Kannpur+India"",""https://www.ticketmaster.com/search?q=Shubh+Shubh+Kannpur+India"",""https://in.bookmyshow.com/explore/events-Shubh Kannpur?search=Shubh"",""https://insider.in/search?q=Shubh""]"
"St George's Hall, Liverpool",,India,music venue,,,,https://www.google.com/maps/search/?api=1&query=St+George%27s+Hall%2C+Liverpool%2C+India,,,"[""concerts"",""cultural events""]",[],[],true,http://www.stgeorgesliverpool.co.uk/,,,,"[""https://en.wikipedia.org/wiki/St_George's_Hall,_Liverpool"",""https://www.wikidata.org/wiki/Q1073341"",""https://www.bcci.tv/"",""https://www.indiansuperleague.com/"",""https://www.prokabaddi.com/"",""https://nominatim.openstreetmap.org/search?format=jsonv2&q=St+George%27s+Hall%2C+Liverpool%2C+India&limit=1&addressdetails=1"",""https://www.wikidata.org/wiki/Q1073341#P856"",""https://www.eventbrite.com/d/india/St+George%27s+Hall%2C+Liverpool++India"",""https://www.ticketmaster.com/search?q=St+George%27s+Hall%2C+Liverpool++India"",""https://in.bookmyshow.com/explore/events-?search=St George's Hall, Liverpool"",""https://insider.in/search?q=St George's Hall, Liverpool""]"
